"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
50,"Christian Watson","8","WR",24,74,51,9.79
51,"Bucky Irving","8","RB",37,82,53.14,7.49
52,"Quinshon Judkins","8","RB",33,77,53.6,8.42
53,"Luther Burden III","8","WR",26,89,53.84,10.85
54,"Cam Skattebo","8","RB",37,77,54.24,7.68
55,"David Montgomery","8","RB",33,71,54.65,7.97
56,"Jalen Hurts","8","QB",29,79,55.14,12.5
57,"DJ Moore","8","WR",21,98,56.14,13.24
58,"Jayden Daniels","8","QB",29,103,56.55,16.58
59,"Rome Odunze","8","WR",32,88,56.9,10.41
60,"Jadarian Price","9","RB",33,82,58.52,8.29
61,"Bhayshul Tuten","9","RB",37,85,59.48,8.92
62,"Tucker Kraft","9","TE",34,111,60.29,11.86
63,"Tyler Warren","9","TE",16,84,61.06,11.6
64,"Mike Evans","9","WR",32,101,62.02,12.09
65,"Caleb Williams","9","QB",29,97,62.93,11.34
66,"Parker Washington","10","WR",31,109,66.14,13.01
67,"TreVeyon Henderson","10","RB",49,100,67.19,10.06
68,"Justin Herbert","10","QB",36,103,70.39,14.36
69,"Rhamondre Stevenson","11","RB",52,108,72.66,9.93
70,"Trevor Lawrence","11","QB",36,104,74.06,13.41
71,"Marvin Harrison Jr.","11","WR",44,109,74.19,9.94
72,"Dak Prescott","11","QB",36,107,75.99,12.64
73,"Jaylen Warren","11","RB",55,117,77.45,9.41
74,"Tony Pollard","11","RB",56,112,77.6,10.68
75,"Brian Thomas Jr.","11","WR",50,116,78.48,11.06
76,"Carnell Tate","11","WR",50,139,78.91,13.28
77,"DK Metcalf","11","WR",51,109,79.24,8.83
78,"Rico Dowdle","11","RB",63,117,81.02,11.49
79,"Sam LaPorta","12","TE",66,130,82.74,11.55
80,"Jonathon Brooks","12","RB",52,188,84.24,20.51
81,"J.K. Dobbins","12","RB",60,126,84.43,11.77
82,"Blake Corum","12","RB",60,131,84.6,10.89
83,"Quentin Johnston","12","WR",54,138,85.59,12.12
84,"Courtland Sutton","12","WR",54,120,86.27,12.59
85,"Alec Pierce","12","WR",50,129,86.69,15.24
86,"Kyle Pitts Sr.","12","TE",67,111,89.02,8.64
87,"Chris Godwin Jr.","12","WR",65,135,89.71,13.42
88,"Harold Fannin Jr.","13","TE",55,111,90.3,11.51
89,"Jacory Croskey-Merritt","13","RB",63,127,90.98,11.21
90,"George Kittle","13","TE",34,180,91.04,16.88
91,"Jordan Mason","13","RB",63,134,93.53,16.78
92,"Brock Purdy","13","QB",62,118,95.08,10.88
93,"MarShawn Lloyd","13","RB",47,259,93.82,43.75
94,"Bo Nix","13","QB",68,124,96.44,10.37
95,"Jaxson Dart","14","QB",58,128,97.48,13.63
96,"Chuba Hubbard","14","RB",64,134,98.9,14.67
97,"Michael Wilson","14","WR",69,142,99.28,15.42
98,"Jordan Addison","14","WR",70,149,100,14.92
99,"Dalton Kincaid","14","TE",76,137,100.12,15.63
100,"Patrick Mahomes II","14","QB",68,128,102.15,10.7
101,"Jayden Reed","14","WR",74,139,102.64,15.13
102,"Jared Goff","14","QB",62,128,104.23,11.04
103,"Matthew Stafford","14","QB",73,133,105.42,10.91
104,"Kyle Monangai","14","RB",71,155,105.93,16.29
105,"Michael Pittman Jr.","15","WR",80,149,108.68,14.59
106,"Travis Kelce","15","TE",76,151,109.37,12.66
107,"RJ Harvey","15","RB",66,148,110.79,15.19
108,"Makai Lemon","15","WR",74,179,111.6,20.03
109,"Isaiah Likely","15","TE",76,202,112.82,23.77
110,"Stefon Diggs","15","WR",75,229,111.51,26.29
111,"Dallas Goedert","15","TE",76,171,114.31,16.97
112,"Kyler Murray","15","QB",97,166,114.59,12.13
113,"Rachaad White","15","RB",72,156,114.96,13.34
114,"Kenny Gainwell","15","RB",78,143,115.45,10.05
115,"Josh Downs","15","WR",80,162,115.77,15.7
116,"Chris Rodriguez Jr.","15","RB",76,167,115.88,18.62
117,"De'Zhaun Stribling","15","WR",69,295,117.15,34.17
118,"Jordan Love","15","QB",97,134,118.17,10.18
119,"Mark Andrews","16","TE",67,195,119.9,23.25
120,"Jakobi Meyers","16","WR",83,164,120.05,18.42
121,"Baker Mayfield","16","QB",79,136,120.48,10.29
122,"Xavier Worthy","16","WR",88,183,121.42,16.16
123,"KC Concepcion","16","WR",81,169,122.84,17.56
124,"Aaron Jones Sr.","16","RB",102,161,122.86,11.85
125,"Matthew Golden","16","WR",81,194,124.7,19.84
126,"Wan'Dale Robinson","16","WR",81,164,125.3,14.55
127,"Tyler Allgeier","16","RB",85,167,126.81,15.47
128,"Romeo Doubs","16","WR",91,183,126.87,15.84
129,"Tyler Shough","16","QB",97,241,127.09,14.61
130,"Woody Marks","17","RB",102,181,131.12,13.43
131,"Malik Willis","17","QB",103,284,132.54,25.41
132,"Juwan Johnson","17","TE",104,195,133.35,19.79
133,"Jake Ferguson","17","TE",103,208,135.99,18.9
134,"Rashid Shaheed","18","WR",106,183,137.06,16.7
135,"Jalen Coker","18","WR",97,198,137.38,14.81
136,"Jonah Coleman","18","RB",102,188,140.3,15.38
137,"Sam Darnold","18","QB",112,178,142.07,12.56
138,"Zach Charbonnet","18","RB",99,262,142.61,23.63
139,"Jordyn Tyson","18","WR",74,244,142.98,33.97
140,"Keaton Mitchell","18","RB",95,242,143.73,23.11
141,"Tank Bigsby","19","RB",121,221,143.94,17
142,"Deebo Samuel Sr.","19","WR",80,243,140.19,32.98
143,"Mike Washington Jr.","19","RB",102,221,141.33,20.93
144,"Khalil Shakir","20","WR",101,177,146.66,14.34
145,"Josh Jacobs","19","RB",23,364,132.28,60.13
146,"C.J. Stroud","20","QB",128,213,148.81,14.52
147,"Daniel Jones","20","QB",123,275,152.91,25.3
148,"Hunter Henry","20","TE",110,202,152.96,21.97
149,"Tyjae Spears","20","RB",119,227,153.27,19.46
150,"Brian Robinson Jr.","20","RB",127,240,151.66,16.13
151,"Brenton Strange","21","TE",111,250,158.19,23.05
152,"Braelon Allen","21","RB",126,250,160.35,24.01
153,"Denzel Boston","21","WR",114,271,162.55,25.31
154,"Houston Texans","20","DST",149,166,152.74,5.14
155,"Tre Tucker","21","WR",115,246,162.82,27.06
156,"Kayshon Boutte","21","WR",106,276,166.8,26.51
157,"Dylan Sampson","22","RB",119,240,169.52,23.83
158,"Cam Ward","22","QB",124,257,169.8,29.59
159,"Adonai Mitchell","22","WR",120,238,171.48,24.32
160,"Tyrone Tracy Jr.","22","RB",119,300,172.81,38.79
161,"Chig Okonkwo","22","TE",123,235,173.09,27.25
162,"Emmett Johnson","22","RB",126,317,173.01,33.82
163,"Terrance Ferguson","22","TE",96,278,170.49,39.55
164,"Alvin Kamara","22","RB",119,283,177.21,32.69
165,"Jalen McMillan","22","WR",132,301,176.49,26.94
166,"Los Angeles Rams","21","DST",150,185,163.87,7.15
167,"Denver Broncos","21","DST",150,182,164.11,5.63
168,"Jerry Jeudy","23","WR",125,258,181.39,26
169,"Jauan Jennings","23","WR",114,311,179.63,32.94
170,"Seattle Seahawks","21","DST",150,182,166.6,4.41
171,"Bryce Young","23","QB",136,339,184.72,31.54
172,"Dalton Schultz","23","TE",122,235,187.38,32.28
173,"Dontayvion Wicks","24","WR",116,271,187.69,33.7
174,"Philadelphia Eagles","22","DST",166,234,173.76,7.76
175,"Ray Davis","23","RB",131,259,187,30.01
176,"Isiah Pacheco","23","RB",131,317,183.74,45.56
177,"Tre' Harris","25","WR",135,314,190.67,30.06
178,"Omar Cooper Jr.","25","WR",135,311,192.7,34.11
179,"Jalen Nailor","25","WR",132,302,194.72,31.46
180,"Ryan Flournoy","25","WR",138,333,194.49,29.61
181,"Minnesota Vikings","23","DST",170,248,185.03,10.07
182,"New England Patriots","23","DST",166,279,185.56,14.7
183,"Pittsburgh Steelers","23","DST",171,205,185.76,4.97
184,"Brandon Aubrey","23","K",175,191,185.97,1.73
185,"AJ Barner","25","TE",130,260,195.27,22.64
186,"Jacksonville Jaguars","23","DST",166,278,187.24,10.38
187,"Kimani Vidal","25","RB",151,283,192.68,32.16
188,"Pat Bryant","26","WR",132,306,199.33,29.04
189,"Calvin Ridley","26","WR",125,297,202.94,31.5
190,"Los Angeles Chargers","25","DST",170,279,189.6,11.11
191,"Cameron Dicker","25","K",186,332,193.82,13.05
192,"Ka'imi Fairbairn","25","K",183,206,192.08,3.57
193,"Oronde Gadsden II","26","TE",96,337,203.61,43.63
194,"Travis Hunter","26","WR",129,360,202.2,39.74
195,"Baltimore Ravens","25","DST",171,279,195.6,15.33
196,"Nicholas Singleton","26","RB",140,309,202.54,38.73
197,"Kenyon Sadiq","26","TE",119,289,209.97,30.64
198,"Malik Washington","26","WR",98,314,207.17,35.69
199,"Kaelon Black","26","RB",126,331,202.87,52
200,"Cam Little","25","K",191,224,197.97,5.68
